product_id,name,category,price
1001,Toys Product 1001,Toys,810.03
1002,Stationery Product 1002,Stationery,797.22
1003,Stationery Product 1003,Stationery,1246.05
1004,Stationery Product 1004,Stationery,1371.25
1005,Books Product 1005,Books,1451.14
1006,Stationery Product 1006,Stationery,1120.35
1007,Stationery Product 1007,Stationery,1206.74
1008,Books Product 1008,Books,1444.41
1009,Furniture Product 1009,Furniture,1131.72
1010,Furniture Product 1010,Furniture,1290.49
1011,Beauty Product 1011,Beauty,1012.26
1012,Books Product 1012,Books,1450.97
1013,Toys Product 1013,Toys,836.85
1014,Electronics Product 1014,Electronics,1186.44
1015,Electronics Product 1015,Electronics,398.16
1016,Electronics Product 1016,Electronics,683.27
1017,Beauty Product 1017,Beauty,1124.02
1018,Stationery Product 1018,Stationery,877.67
1019,Toys Product 1019,Toys,958.55
1020,Stationery Product 1020,Stationery,164.3
1021,Furniture Product 1021,Furniture,708.27
1022,Sports Product 1022,Sports,1326.58
1023,Sports Product 1023,Sports,493.35
1024,Sports Product 1024,Sports,333.61
1025,Electronics Product 1025,Electronics,953.84
1026,Books Product 1026,Books,1364.26
1027,Stationery Product 1027,Stationery,974.56
1028,Electronics Product 1028,Electronics,211.39
1029,Electronics Product 1029,Electronics,457.94
1030,Books Product 1030,Books,175.95
1031,Furniture Product 1031,Furniture,1331.11
1032,Furniture Product 1032,Furniture,584.19
1033,Stationery Product 1033,Stationery,1006.39
1034,Beauty Product 1034,Beauty,1045.33
1035,Sports Product 1035,Sports,629.85
1036,Beauty Product 1036,Beauty,1090.45
1037,Books Product 1037,Books,983.07
1038,Toys Product 1038,Toys,735.04
1039,Books Product 1039,Books,1408.7
1040,Stationery Product 1040,Stationery,51.01
1041,Stationery Product 1041,Stationery,327.47
1042,Books Product 1042,Books,1425.93
1043,Toys Product 1043,Toys,545.3
1044,Beauty Product 1044,Beauty,552.27
1045,Beauty Product 1045,Beauty,539.29
1046,Books Product 1046,Books,415.27
1047,Electronics Product 1047,Electronics,1423.62
1048,Toys Product 1048,Toys,683.17
1049,Beauty Product 1049,Beauty,319.73
1050,Beauty Product 1050,Beauty,896.52
1051,Electronics Product 1051,Electronics,77.77
1052,Stationery Product 1052,Stationery,366.87
1053,Furniture Product 1053,Furniture,1180.89
1054,Furniture Product 1054,Furniture,104.78
1055,Toys Product 1055,Toys,832.2
1056,Sports Product 1056,Sports,325.5
1057,Toys Product 1057,Toys,351.03
1058,Toys Product 1058,Toys,223.04
1059,Sports Product 1059,Sports,6.25
1060,Toys Product 1060,Toys,1476.07
1061,Furniture Product 1061,Furniture,811.24
1062,Toys Product 1062,Toys,263.4
1063,Beauty Product 1063,Beauty,1299.94
1064,Furniture Product 1064,Furniture,24.26
1065,Toys Product 1065,Toys,1183.07
1066,Sports Product 1066,Sports,487.01
1067,Furniture Product 1067,Furniture,399.52
1068,Furniture Product 1068,Furniture,1113.09
1069,Sports Product 1069,Sports,172.25
1070,Electronics Product 1070,Electronics,715.42
1071,Toys Product 1071,Toys,544.33
1072,Sports Product 1072,Sports,165.36
1073,Sports Product 1073,Sports,333.88
1074,Sports Product 1074,Sports,66.96
1075,Toys Product 1075,Toys,1363.31
1076,Beauty Product 1076,Beauty,783.13
1077,Books Product 1077,Books,965.72
1078,Electronics Product 1078,Electronics,93.12
1079,Books Product 1079,Books,1271.25
1080,Books Product 1080,Books,1029.77
1081,Books Product 1081,Books,1069.18
1082,Books Product 1082,Books,112.09
1083,Electronics Product 1083,Electronics,484.52
1084,Furniture Product 1084,Furniture,100.39
1085,Stationery Product 1085,Stationery,937.23
1086,Sports Product 1086,Sports,823.44
1087,Stationery Product 1087,Stationery,572.59
1088,Sports Product 1088,Sports,796.77
1089,Books Product 1089,Books,759.32
1090,Books Product 1090,Books,150.57
1091,Beauty Product 1091,Beauty,173.39
1092,Beauty Product 1092,Beauty,977.07
1093,Toys Product 1093,Toys,827.9
1094,Toys Product 1094,Toys,324.1
1095,Books Product 1095,Books,1332.36
1096,Books Product 1096,Books,509.72
1097,Books Product 1097,Books,599.3
1098,Beauty Product 1098,Beauty,144.44
1099,Books Product 1099,Books,470.16
1100,Stationery Product 1100,Stationery,562.7
1101,Furniture Product 1101,Furniture,1030.86
1102,Books Product 1102,Books,102.57
1103,Toys Product 1103,Toys,129.88
1104,Books Product 1104,Books,146.65
1105,Beauty Product 1105,Beauty,560.22
1106,Furniture Product 1106,Furniture,835.44
1107,Sports Product 1107,Sports,1435.02
1108,Sports Product 1108,Sports,495.81
1109,Electronics Product 1109,Electronics,617.39
1110,Toys Product 1110,Toys,998.68
1111,Toys Product 1111,Toys,635.56
1112,Beauty Product 1112,Beauty,79.07
1113,Stationery Product 1113,Stationery,901.41
1114,Stationery Product 1114,Stationery,157.19
1115,Sports Product 1115,Sports,320.68
1116,Beauty Product 1116,Beauty,724.32
1117,Toys Product 1117,Toys,164.11
1118,Toys Product 1118,Toys,835.29
1119,Electronics Product 1119,Electronics,1144.38
1120,Sports Product 1120,Sports,340.79
1121,Books Product 1121,Books,1268.04
1122,Toys Product 1122,Toys,1228.0
1123,Sports Product 1123,Sports,1013.12
1124,Sports Product 1124,Sports,41.33
1125,Beauty Product 1125,Beauty,1244.53
1126,Stationery Product 1126,Stationery,45.37
1127,Stationery Product 1127,Stationery,1054.64
1128,Stationery Product 1128,Stationery,1382.46
1129,Stationery Product 1129,Stationery,11.15
1130,Toys Product 1130,Toys,216.59
1131,Beauty Product 1131,Beauty,602.37
1132,Furniture Product 1132,Furniture,1111.97
1133,Electronics Product 1133,Electronics,139.45
1134,Sports Product 1134,Sports,324.27
1135,Books Product 1135,Books,681.56
1136,Furniture Product 1136,Furniture,556.34
1137,Beauty Product 1137,Beauty,487.93
1138,Sports Product 1138,Sports,895.14
1139,Electronics Product 1139,Electronics,235.06
1140,Toys Product 1140,Toys,927.52
1141,Beauty Product 1141,Beauty,124.21
1142,Books Product 1142,Books,993.58
1143,Books Product 1143,Books,911.4
1144,Books Product 1144,Books,411.2
1145,Toys Product 1145,Toys,769.49
1146,Stationery Product 1146,Stationery,646.01
1147,Stationery Product 1147,Stationery,1017.97
1148,Sports Product 1148,Sports,730.98
1149,Beauty Product 1149,Beauty,464.01
1150,Furniture Product 1150,Furniture,594.1
1005,Duplicate Product 1005,Electronics,999.99
1151,Negative Price Product,Furniture,-50.0
1152,Zero Price Product,Stationery,0.0
1153,,Unknown,10.0
1154,Null Category Product,,25.0
